Comunicado;;;;;;;;;;;;;;;
Lei 9.155/95;;;;;;;;;;;;;;;
Resolução 161/01;;;;;;;;;;;;;;;
04Trim14;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
ITEM;Ocorrências policiais registradas, por natureza;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
;Nº de autos de apreensão (art 173 ECA);941;593;2.183;438;226;555;246;139;135;163;81;148;52;3.717
;Nº de infratores apreendidos em flagrante;920;790;3.050;501;336;669;328;173;259;234;99;377;74;4.760
;Nº de infratores apreendidos por mandado;100;127;845;93;70;130;125;54;54;120;67;98;34;1.072
VIII;Nº de revistas pessoais/ identificação (10);894.367;365.423;2.688.218;356.427;270.460;562.937;176.607;92.265;224.071;200.151;64.617;265.269;85.926;3.948.008
IX;Armas de fogo apreendidas;1.235;775;2.513;253;356;367;207;145;263;401;88;319;114;4.523
X;Nº de Veículos Recuperados;9.802;5.671;8.452;925;1.533;1.348;535;340;1.156;675;130;1.670;140;23.925
XI;Exames Necroscópicos Realizados - IML(5);2.717;1.778;4.176;...;...;...;...;...;...;...;...;...;...;8.671
;Laudos Necroscópicos Expedidos - IML(5);7.045;2.840;4.133;...;...;...;...;...;...;...;...;...;...;14.018
;Laudos Necroscópicos Expedidos do Ano Anterior IML(5);465;13;25;...;...;...;...;...;...;...;...;...;...;503
;Exames Clínicos Laboratoriais Realizados - IML(5);40.569;22.335;62.503;...;...;...;...;...;...;...;...;...;...;125.407
;Laudos Clínicos Laboratoriais Expedidos - IML(5);33.450;17.858;59.282;...;...;...;...;...;...;...;...;...;...;110.590
;Laudos Clínicos Laboratoriais Expedidos do Ano Anterior - IML(5);2;58;719;...;...;...;...;...;...;...;...;...;...;779
;Exames Periciais Realizados - IC(5);41.233;22.315;93.949;...;...;...;...;...;...;...;...;...;...;157.497
;Laudos Periciais Expedidos - IC(5);37.277;23.226;86.611;...;...;...;...;...;...;...;...;...;...;147.114
;Laudos Periciais Expedidos do Ano Anterior- IC(5);5.447;4.162;22.189;...;...;...;...;...;...;...;...;...;...;31.798
ITEM;Ocorrências envolvendo policiais militares (4);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
III;Pessoas mortas em confronto com a polícia militar em serviço (9);92;56;69;4;11;11;2;2;15;17;0;7;0;217
;Pessoas mortas por policiais militares de folga (9);0;0;0;0;0;0;0;0;0;0;0;0;0;0
IV;Pessoas feridas em confronto com a polícia militar em serviço;90;45;45;2;10;6;3;3;15;3;0;3;0;180
;Pessoas feridas por policiais militares de folga;0;0;0;0;0;0;0;0;0;0;0;0;0;0
V;Policiais militares mortos em serviço;3;0;1;0;0;0;0;0;0;0;0;1;0;4
VI;Policiais militares feridos em serviço;25;19;17;1;0;3;1;0;8;0;1;3;0;61
ITEM;Ocorrências policiais registradas, por tipo;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
;Homicídio doloso;304;267;547;82;100;62;39;31;52;66;18;74;23;1.118
;Nº de Vítimas em Homicídio Doloso;320;285;564;85;103;63;40;32;54;69;18;75;25;1.169
;Homicídio Doloso por acidente de trânsito (11);6;2;7;0;0;2;2;0;0;0;2;1;0;15
;Nº de Vítimas em Homicídio Doloso por acidente de trânsito (12);8;2;7;0;0;2;2;0;0;0;2;1;0;17
;Homicídio culposo por Acidente de Trânsito;133;142;766;73;123;103;89;68;67;108;30;79;26;1.041
;Homicídio Culposo(8);154;150;798;77;126;112;89;72;71;109;32;83;27;1.102
;Tentativa de homicídio;352;255;744;97;107;93;56;54;98;103;26;78;32;1.351
;Lesão corporal dolosa;8.028;5.560;25.078;2.367;3.437;3.987;2.916;1.918;1.763;2.873;1.444;3.414;959;38.666
;Lesão corporal culposa por Acidente de Trânsito;6.260;4.827;21.436;1.678;3.202;2.590;2.529;2.161;1.344;2.128;1.134;3.525;1.145;32.523
;Lesão corporal culposa outras;235;120;496;30;97;84;39;119;35;22;26;28;16;851
;Latrocínio;39;14;35;2;7;9;3;0;5;0;1;7;1;88
;Nº de Vítimas de Latrocínio;39;14;36;2;8;9;3;0;5;0;1;7;1;89
;Estupro;536;462;1.485;143;212;210;160;128;98;265;59;141;69;2.483
XII;Extorsão mediante seqüestro (6);3;2;0;0;0;0;0;0;0;0;0;0;0;5
;Tráfico de entorpecentes;1.560;1.030;7.573;810;936;1.420;733;571;459;857;302;1.256;229;10.163
;Roubo - outros(7);38.163;15.939;18.843;2.448;3.828;2.078;801;478;4.572;1.586;98;2.660;294;72.945
;Roubo de veículos;11.826;7.056;4.750;572;1.345;450;47;64;929;430;12;886;15;23.632
;Roubo a Banco;29;6;26;0;8;5;2;3;2;2;1;3;0;61
;Roubo de Carga;1.414;462;337;34;117;44;0;2;59;20;1;60;0;2.213
;Furto - outros;44.860;15.925;61.677;6.039;10.205;10.999;5.136;4.136;7.559;6.293;1.736;7.592;1.982;122.462
;Furto de veículos;11.512;6.234;10.709;1.052;2.130;1.599;598;589;1.199;1.233;133;2.009;167;28.455
FONTE: DEPARTAMENTO DE POLÍCIA CIVIL E DA POLÍCIA MILITAR;;;;;;;;;;;;;;;
(1) Exclui a Capital.;;;;;;;;;;;;;;;
(2) Inclui Termos circunstanciados indiretos e diretos, ou seja, com e sem a elaboração de boletim de ocorrência anterior.;;;;;;;;;;;;;;;
(3) Dados da Corregedoria da Polícia Civil.;;;;;;;;;;;;;;;
(4) Dados da Corregedoria da Polícia Militar.;;;;;;;;;;;;;;;
(5) Dados da Superintendência da Polícia Técnico Científica.;;;;;;;;;;;;;;;
(6) Dados do Serviço de Informações Criminais da Divisão Anti-sequestro.;;;;;;;;;;;;;;;
(7) Incluído Roubo Carga e Banco.;;;;;;;;;;;;;;;
(8) Homicídio Culposo inclui Homicídio Culposo Acidente de Trânsito.;;;;;;;;;;;;;;;
(9) Casos de morte em decorrência de intervenção policial, excluídos homicídio doloso e culposol.;;;;;;;;;;;;;;;
(10) Dados de Revistas Pessoais no Interior inclui também CPRv e CPAmb.;;;;;;;;;;;;;;;
(11) Dados de Homicídio Doloso por acidente de trânsito já incluídos em Homicídio Doloso.;;;;;;;;;;;;;;;
(12) Dados de Vítimas em Homicídio Doloso por acidente de trânsito já incluídos em Nº de Vítimas em Homicídio Doloso.;;;;;;;;;;;;;;;
(…) Dados não desagregados por departamentos;;;;;;;;;;;;;;;
