Comunicado;;;;;;;;;;;;;;;
Lei 9.155/95;;;;;;;;;;;;;;;
Resolução 161/01;;;;;;;;;;;;;;;
04Trim13;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
ITEM;Ocorrências policiais registradas, por natureza;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
XI;Exames Necroscópicos Realizados - IML(5);2.722;1.766;4.090;...;...;...;...;...;...;...;...;...;...;8.578
;Laudos Necroscópicos Expedidos - IML(5);2.258;1.556;3.904;...;...;...;...;...;...;...;...;...;...;7.718
;Exames Clínicos Laboratoriais Realizados - IML(5);42.424;19.537;60.154;...;...;...;...;...;...;...;...;...;...;122.115
;Laudos Clínicos Laboratoriais Expedidos - IML(5);39.454;17.880;57.930;...;...;...;...;...;...;...;...;...;...;115.264
;Exames Periciais Realizados - IC(5);47.795;22.660;85.349;...;...;...;...;...;...;...;...;...;...;155.804
;Laudos Periciais Expedidos - IC(5);38.240;18.189;59.189;...;...;...;...;...;...;...;...;...;...;115.618
ITEM;Ocorrências envolvendo policiais militares (4);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
III;Pessoas mortas em confronto com a polícia militar em serviço (9);53;16;25;0;2;1;1;4;10;3;0;4;0;94
;Pessoas mortas por policiais militares de folga (9);0;0;0;0;0;0;0;0;0;0;0;0;0;0
IV;Pessoas feridas em confronto com a polícia militar em serviço;56;18;36;2;9;3;4;2;11;3;0;2;0;110
;Pessoas feridas por policiais militares de folga;0;0;0;0;0;0;0;0;0;0;0;0;0;0
V;Policiais militares mortos em serviço;5;0;4;1;1;0;0;0;2;0;0;0;0;9
VI;Policiais militares feridos em serviço;27;7;13;5;0;3;3;0;1;1;0;0;0;47
ITEM;Ocorrências policiais registradas, por tipo;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
;Homicídio doloso;308;274;563;88;86;66;36;30;64;49;23;93;28;1.145
;Nº de Vítimas em Homicídio Doloso;331;288;593;96;90;68;40;34;64;52;24;99;28;1.212
;Homicídio Doloso por acidente de trânsito (11);7;2;14;1;0;4;3;2;0;1;1;2;0;23
;Nº de Vítimas em Homicídio Doloso por acidente de trânsito (12);7;2;21;1;0;5;5;4;0;2;1;3;0;30
;Homicídio culposo por Acidente de Trânsito;124;145;842;84;136;130;69;72;92;110;39;81;29;1.111
;Homicídio Culposo(8);135;157;874;86;139;134;73;78;94;115;40;84;31;1.166
;Tentativa de homicídio;383;323;828;129;78;99;69;66;106;105;34;95;47;1.534
;Lesão corporal dolosa;8.906;6.156;26.816;2.228;3.616;4.062;2.947;2.227;1.868;3.042;1.588;4.209;1.029;41.878
;Lesão corporal culposa por Acidente de Trânsito;6.836;5.158;23.411;1.843;3.102;2.704;2.738;2.778;1.352;2.493;1.196;3.910;1.295;35.405
;Lesão corporal culposa outras;282;124;699;39;117;71;52;169;75;72;42;27;35;1.105
;Latrocínio;33;22;35;3;9;4;4;1;5;5;0;2;2;90
;Nº de Vítimas de Latrocínio;34;22;35;3;9;4;4;1;5;5;0;2;2;91
;Estupro;610;521;1.525;124;236;210;171;135;129;253;45;159;63;2.656
XII;Extorsão mediante seqüestro (6);2;3;4;0;2;0;1;0;0;1;0;0;0;9
;Tráfico de entorpecentes;1.515;1.226;6.740;706;847;1.140;629;502;448;834;235;1.184;215;9.481
;Roubo - outros(7);33.284;14.107;18.420;2.301;3.390;2.207;859;513;4.495;1.299;121;3.000;235;65.811
;Roubo de veículos;14.025;7.645;5.664;642;1.849;513;33;58;828;447;4;1.273;17;27.334
;Roubo a Banco;28;12;17;3;2;2;0;2;4;1;0;3;0;57
;Roubo de Carga;1.214;493;436;22;195;36;5;1;71;23;0;82;1;2.143
;Furto - outros;50.946;17.977;65.278;6.562;10.006;11.866;5.927;4.479;7.882;6.680;1.876;7.820;2.180;134.201
;Furto de veículos;11.575;5.789;11.581;1.123;2.055;1.944;681;676;1.080;1.318;125;2.359;220;28.945
FONTE: DEPARTAMENTO DE POLÍCIA CIVIL E DA POLÍCIA MILITAR;;;;;;;;;;;;;;;
(1) Exclui a Capital.;;;;;;;;;;;;;;;
(2) Inclui Termos circunstanciados indiretos e diretos, ou seja, com e sem a elaboração de boletim de ocorrência anterior.;;;;;;;;;;;;;;;
(3) Dados da Corregedoria da Polícia Civil.;;;;;;;;;;;;;;;
(4) Dados da Corregedoria da Polícia Militar.;;;;;;;;;;;;;;;
(5) Dados da Superintendência da Polícia Técnico Científica.;;;;;;;;;;;;;;;
(6) Dados do Serviço de Informações Criminais da Divisão Anti-sequestro.;;;;;;;;;;;;;;;
(7) Incluído Roubo Carga e Banco.;;;;;;;;;;;;;;;
(8) Homicídio Culposo inclui Homicídio Culposo Acidente de Trânsito.;;;;;;;;;;;;;;;
(9) Casos de morte em decorrência de intervenção policial, excluídos homicídio doloso e culposol.;;;;;;;;;;;;;;;
(10) Dados de Revistas Pessoais no Interior inclui também CPRv e CPAmb.;;;;;;;;;;;;;;;
(11) Dados de Homicídio Doloso por acidente de trânsito já incluídos em Homicídio Doloso.;;;;;;;;;;;;;;;
(12) Dados de Vítimas em Homicídio Doloso por acidente de trânsito já incluídos em Nº de Vítimas em Homicídio Doloso.;;;;;;;;;;;;;;;
(…) Dados não desagregados por departamentos;;;;;;;;;;;;;;;
