;Policiais civis mortos de folga;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VI;Policiais civis feridos em serviço;2;3;14;0;0;1;0;0;7;1;3;1;1;19
;Policiais civis feridos de folga;4;1;4;1;1;0;1;0;1;0;0;0;0;9
ITEM;Atividades policiais;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
VII;Prisões efetuadas (em flagrante+ por mandado);7.878;6.836;27.892;2.210;3.240;4.201;2.589;2.084;2.804;4.534;1.641;3.473;1.116;42.606
;Nº de pessoas presas em flagrante;7.826;4.695;16.479;1.524;2.361;2.569;1.318;1.017;1.640;2.252;818;2.313;667;29.000
;Nº de pessoas presas por mandado;3.479;2.603;14.006;944;1.257;1.994;1.459;1.198;1.356;2.709;1.065;1.486;538;20.088
;Nº de autos de apreensão (art 173 ECA);825;455;1.362;170;145;256;142;91;127;129;63;183;56;2.642
;Nº de infratores apreendidos em flagrante;899;568;1.785;223;205;315;159;113;216;166;95;230;63;3.252
;Nº de infratores apreendidos por mandado;60;98;647;93;56;109;56;60;83;66;49;65;10;805
VIII;Nº de revistas pessoais/ identificação (9);999.141;560.519;2.011.683;173.798;141.693;441.173;84.489;100.070;231.740;165.571;56.984;258.485;73.015;3.571.343
IX;Armas de fogo apreendidas;628;457;2.054;293;315;255;148;131;240;226;104;285;57;3.139
X;Nº de Veículos Recuperados;5.560;3.079;5.371;491;1.260;692;298;214;641;476;115;1.045;139;14.010
ITEM;Ocorrências envolvendo policiais militares (4);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
III;Pessoas mortas em confronto com a polícia militar em serviço (8);94;39;70;4;12;1;6;12;9;8;4;14;0;203
;Pessoas mortas por policiais militares de folga (8A);20;6;7;2;1;1;1;0;1;1;0;0;0;33
IV;Pessoas feridas em confronto com a polícia militar em serviço;44;17;41;6;5;8;6;2;5;3;2;4;0;102
;Pessoas feridas por policiais militares de folga;27;12;3;0;3;0;0;0;0;0;0;0;0;42
V;Policiais militares mortos em serviço;3;0;1;0;0;0;0;0;0;0;0;1;0;4
;Policiais militares mortos de folga;4;0;2;0;0;0;2;0;0;0;0;0;0;6
VI;Policiais militares feridos em serviço;14;7;26;3;3;6;2;2;4;3;1;2;0;47
;Policiais militares feridos de folga;23;3;3;1;0;0;0;0;1;0;0;1;0;29
ITEM;Ocorrências policiais registradas, por tipo;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
;Homicídio doloso;177;144;472;75;86;61;24;19;39;74;16;60;18;793
;Nº de Vítimas em Homicídio Doloso;185;147;494;75;90;63;26;19;48;75;18;62;18;826
;Homicídio Doloso por acidente de trânsito (10);0;1;2;0;1;0;0;1;0;0;0;0;0;3
;Nº de Vítimas em Homicídio Doloso por acidente de trânsito (11);0;1;3;0;2;0;0;1;0;0;0;0;0;4
;Homicídio culposo por Acidente de Trânsito;96;112;602;65;92;92;52;52;57;93;23;57;19;810
;Homicídio Culposo (7);104;124;632;67;95;100;53;55;61;95;23;62;21;860
;Tentativa de homicídio;179;144;526;86;63;76;42;43;60;45;14;60;37;849
;Lesão corporal dolosa;7.673;5.393;20.809;2.087;2.754;3.042;1.981;1.619;1.860;2.414;1.421;2.903;728;33.875
;Lesão corporal culposa por Acidente de Trânsito;3.597;2.493;12.401;867;1.844;1.427;1.412;1.447;792;1.008;826;2.013;765;18.491
;Lesão corporal culposa outras;376;135;416;51;55;85;25;56;58;24;21;26;15;927
;Lesão Corporal Seguida de Morte;9;5;15;4;2;1;4;0;1;1;0;2;0;29
;Latrocínio;19;9;30;1;5;5;4;3;2;2;2;4;2;58
;Nº de Vítimas de Latrocínio;19;9;31;2;5;5;4;3;2;2;2;4;2;59
;Estupro TOTAL (17);760;683;1.869;236;217;250;167;163;166;338;94;187;51;3.312
;Estupro;216;171;457;55;54;71;32;32;51;86;18;46;12;844
;Estupro de Vulnerável;544;512;1.412;181;163;179;135;131;115;252;76;141;39;2.468
XII;Extorsão mediante seqüestro (5);0;2;0;0;0;0;0;0;0;0;0;0;0;2
;Tráfico de entorpecentes;1.752;1.421;7.469;771;849;1.176;582;612;602;940;406;1.214;317;10.642
;Roubo - outros TOTAL(6);37.147;14.497;12.897;1.624;2.797;1.408;407;262;3.473;938;106;1.704;178;64.541
;Roubo - Outros;36.053;13.932;12.460;1.581;2.628;1.370;400;257;3.399;907;102;1.639;177;62.445
;Roubo de veículos;5.691;3.767;2.862;351;1.024;311;41;25;337;246;7;497;23;12.320
;Roubo a Banco;2;1;3;0;0;0;0;1;0;1;0;1;0;6
;Roubo de Carga;1.092;564;434;43;169;38;7;4;74;30;4;64;1;2.090
;Furto - outros;53.854;16.703;52.992;5.061;8.662;9.104;4.095;3.293;6.916;5.609;1.982;6.416;1.854;123.549
;Furto de veículos;8.932;5.253;7.998;799;1.982;1.155;331;347;807;712;112;1.603;150;22.183
ITEM;Exames de Natureza Necroscópica (12);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
XII;Exames Necroscópicos Realizados - IML;2.967;1.769;4.763;...;...;...;...;...;...;...;...;...;...;9.499
;Laudos Necroscópicos Expedidos do Ano - IML;2.503;1.618;4.317;...;...;...;...;...;...;...;...;...;...;8.438
;Laudos Necroscópicos Expedidos do Ano Anterior IML;...;...;...;...;...;...;...;...;...;...;...;...;...;0
ITEM;Clínicos e Laboratoriais (12);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
XIII;Exames Clínicos Laboratoriais Realizados - IML (14);28.746;18.725;54.907;...;...;...;...;...;...;...;...;...;...;102.378
;Laudos Clínicos Laboratoriais Expedidos do Ano - IML (15);27.664;18.644;53.280;...;...;...;...;...;...;...;...;...;...;99.588
;Laudos Clínicos Laboratoriais Expedidos do Ano Anterior - IML (16);...;...;...;...;...;...;...;...;...;...;...;...;...;0
ITEM;Criminalísticos (12);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
XIV;Exames Periciais Realizados - IC;30.211;16.340;66.577;...;...;...;...;...;...;...;...;...;...;113.128
;Laudos Periciais Expedidos do Ano - IC;30.866;15.868;64.434;...;...;...;...;...;...;...;...;...;...;111.168
;Laudos Periciais Expedidos do Ano Anterior- IC;...;...;...;...;...;...;...;...;...;...;...;...;...;0
ITEM;Exames Outros do IML à Margem do GDL (12) (13);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
XV;Exames Outros Realizados - IML (14);...;...;...;...;...;...;...;...;...;...;...;...;...;0
;Laudos Outros Expedidos do Ano - IML (15);...;...;...;...;...;...;...;...;...;...;...;...;...;0
;Laudos Outros Expedidos do Ano Anterior IML (16);...;...;...;...;...;...;...;...;...;...;...;...;...;0
FONTE: DEPARTAMENTO DE POLÍCIA CIVIL E DA POLÍCIA MILITAR;;;;;;;;;;;;;;;
(1) Exclui a Capital.;;;;;;;;;;;;;;;
(2) Inclui Termos circunstanciados indiretos e diretos, ou seja, com e sem a elaboração de boletim de ocorrência anterior.;;;;;;;;;;;;;;;
(3) Dados da Corregedoria da Polícia Civil.;;;;;;;;;;;;;;;
(4) Dados da Corregedoria da Polícia Militar.;;;;;;;;;;;;;;;
(5) Dados do Serviço de Informações Criminais da Divisão Anti-sequestro.;;;;;;;;;;;;;;;
(6) Incluído Roubo Carga e Banco.;;;;;;;;;;;;;;;
(7) Homicídio Culposo inclui Homicídio Culposo Acidente de Trânsito.;;;;;;;;;;;;;;;
(8) Casos de morte em decorrência de intervenção policial, excluídos homicídio doloso e culposo.;;;;;;;;;;;;;;;
"(8A)  Até março de 2015, a Corregedoria da Polícia Militar utilizava uma categoria específica denominada ""Homicídio doloso - fora de serviço (reações)"", contabilizando somente os casos em que consideravam presentes excludentes de ilicitude. Eram excluídos portanto, os homicídios dolosos e culposos. Esses dados sempre foram publicados no DOE, no último dia do mês seguinte da ocorrência dos dados.  A partir de abril de 2015, a Polícia Militar adequou à exata classificação da Res. SSP 40/15, passando a contabilizar todos os casos de morte em decorrência de qualquer intervenção considerada lícita do policial militar em folga, inclusive os casos em que presentes as excludentes de ilicitude. Continuam excluídos os homicídios dolosos, inclusive ""homicídios múltiplos"" e culposos, que são contabilizados nos termos da Res. SSP 160.";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
(9) Dados de Revistas Pessoais no Interior inclui também CPRv e CPAmb.;;;;;;;;;;;;;;;
(10) Dados de Homicídio Doloso por acidente de trânsito já incluídos em Homicídio Doloso.;;;;;;;;;;;;;;;
(11) Dados de Vítimas em Homicídio Doloso por acidente de trânsito já incluídos em Nº de Vítimas em Homicídio Doloso.;;;;;;;;;;;;;;;
(12) Dados da Superintendência da Polícia Técnico Científica.;;;;;;;;;;;;;;;
(13) Tratam de dados de produtividade apartados dos sistemas centrais informatizados de Gestão de Laudos (GDL).;;;;;;;;;;;;;;;
"(14) A soma destes itens correspondem ao campo  ""Exames Clínicos Laboratoriais Realizados - IML"" dos períodos anteriores";;;;;;;;;;;;;;;
"(15) A soma destes itens correspondem ao campo ""Laudos Clínicos Laboratoriais Expedidos - IML"" dos períodos anteriores";;;;;;;;;;;;;;;
"(16) A soma destes itens correspondem ao campo ""Laudos Clínicos Laboratoriais Expedidos do Ano Anterior - IML"" dos períodos anteriores";;;;;;;;;;;;;;;
(17) Dados de Estupro inclui Estupro de Vulnerável;;;;;;;;;;;;;;;
(…) Dados não desagregados por departamentos;;;;;;;;;;;;;;;
