;Nº de pessoas presas em flagrante;6.801;3.938;14.752;1.389;2.108;2.388;1.261;955;1.496;1.917;649;2.017;572;25.491
;Nº de pessoas presas por mandado;1.996;1.581;8.835;523;742;1.352;1.267;901;830;1.326;689;911;294;12.412
;Nº de autos de apreensão (art 173 ECA);664;329;1.041;110;97;205;104;46;120;108;63;136;52;2.034
;Nº de infratores apreendidos em flagrante;767;458;1.371;141;152;263;121;68;188;152;66;158;62;2.596
;Nº de infratores apreendidos por mandado;11;62;386;37;25;87;36;48;26;32;22;61;12;459
VIII;Nº de revistas pessoais/ identificação (9);860.254;447.617;1.727.111;115.042;142.923;345.946;67.066;67.562;208.199;115.521;49.489;211.424;41.109;3.034.982
IX;Armas de fogo apreendidas;644;426;1.703;223;205;270;163;136;172;220;84;170;60;2.773
X;Nº de Veículos Recuperados;3.454;2.205;3.798;360;745;581;262;244;509;278;84;635;100;9.457
ITEM;Ocorrências envolvendo policiais militares (4);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
III;Pessoas mortas em confronto com a polícia militar em serviço (8);59;14;26;5;6;1;1;1;8;0;1;3;0;99
;Pessoas mortas por policiais militares de folga (8A);24;5;2;0;0;0;1;0;0;0;0;1;0;31
IV;Pessoas feridas em confronto com a polícia militar em serviço;18;13;26;1;6;2;3;4;5;5;0;0;0;57
;Pessoas feridas por policiais militares de folga;22;7;4;0;2;1;0;0;1;0;0;0;0;33
V;Policiais militares mortos em serviço;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Policiais militares mortos de folga;2;1;1;0;0;0;0;0;0;0;1;0;0;4
VI;Policiais militares feridos em serviço;7;2;2;0;0;0;0;0;0;1;1;0;0;11
;Policiais militares feridos de folga;6;3;6;0;1;2;0;1;2;0;0;0;0;15
ITEM;Ocorrências policiais registradas, por tipo;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
;Homicídio doloso;166;160;439;103;59;54;38;23;33;48;13;50;18;765
;Nº de Vítimas em Homicídio Doloso;188;173;459;106;60;54;40;23;34;56;14;51;21;820
;Homicídio Doloso por acidente de trânsito (10);0;3;1;0;0;0;1;0;0;0;0;0;0;4
;Nº de Vítimas em Homicídio Doloso por acidente de trânsito (11);0;4;1;0;0;0;1;0;0;0;0;0;0;5
;Homicídio culposo por Acidente de Trânsito;109;116;614;58;93;103;51;54;65;75;20;66;29;839
;Homicídio Culposo (7);114;121;629;58;95;105;51;54;66;76;20;74;30;864
;Tentativa de homicídio;139;167;536;106;50;57;49;52;66;61;18;41;36;842
;Lesão corporal dolosa;7.281;5.431;18.419;1.887;2.516;2.642;1.780;1.562;1.469;2.205;1.284;2.417;657;31.131
;Lesão corporal culposa por Acidente de Trânsito;2.846;2.273;10.305;668;1.359;1.138;1.200;1.268;703;780;774;1.770;645;15.424
;Lesão corporal culposa outras;268;146;326;34;40;66;27;38;24;35;18;28;16;740
;Lesão Corporal Seguida de Morte;7;2;10;3;0;1;0;1;0;2;0;1;2;19
;Latrocínio;13;7;23;2;2;6;3;1;4;3;0;1;1;43
;Nº de Vítimas de Latrocínio;13;7;23;2;2;6;3;1;4;3;0;1;1;43
;Estupro TOTAL (17);613;621;1.806;186;249;236;169;142;177;318;83;184;62;3.040
;Estupro;167;125;395;35;62;58;45;26;44;47;12;47;19;687
;Estupro de Vulnerável;446;496;1.411;151;187;178;124;116;133;271;71;137;43;2.353
XII;Extorsão mediante seqüestro (5);1;0;0;0;0;0;0;0;0;0;0;0;0;1
;Tráfico de entorpecentes;1.674;1.312;6.494;615;848;1.100;540;531;487;769;308;1.041;255;9.480
;Roubo - outros TOTAL(6);31.745;12.669;10.215;1.218;2.234;1.186;303;225;2.962;671;66;1.207;143;54.629
;Roubo - Outros;30.851;12.220;9.870;1.185;2.103;1.152;293;221;2.901;647;62;1.167;139;52.941
;Roubo de veículos;3.827;2.841;2.178;231;828;259;32;21;241;158;4;394;10;8.846
;Roubo a Banco;6;1;3;1;1;1;0;0;0;0;0;0;0;10
;Roubo de Carga;888;448;342;32;130;33;10;4;61;24;4;40;4;1.678
;Furto - outros;40.335;14.398;47.828;4.624;7.492;7.590;3.834;3.142;7.478;4.798;1.596;5.474;1.800;102.561
;Furto de veículos;6.632;4.126;5.971;591;1.310;1.053;284;329;626;516;84;1.066;112;16.729
ITEM;Exames de Natureza Necroscópica (12);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
XII;Exames Necroscópicos Realizados - IML;3.305;2.225;5.821;...;...;...;...;...;...;...;...;...;...;11.351
;Laudos Necroscópicos Expedidos do Ano - IML;2.960;2.140;5.739;...;...;...;...;...;...;...;...;...;...;10.839
;Laudos Necroscópicos Expedidos do Ano Anterior IML;...;...;...;...;...;...;...;...;...;...;...;...;...;0
ITEM;Clínicos e Laboratoriais (12);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
XIII;Exames Clínicos Laboratoriais Realizados - IML (14);25.724;15.337;44.977;...;...;...;...;...;...;...;...;...;...;86.038
;Laudos Clínicos Laboratoriais Expedidos do Ano - IML (15);25.086;15.613;45.091;...;...;...;...;...;...;...;...;...;...;85.790
;Laudos Clínicos Laboratoriais Expedidos do Ano Anterior - IML (16);...;...;...;...;...;...;...;...;...;...;...;...;...;0
ITEM;Criminalísticos (12);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
XIV;Exames Periciais Realizados - IC;28.463;15.023;59.834;...;...;...;...;...;...;...;...;...;...;103.320
;Laudos Periciais Expedidos do Ano - IC;27.968;14.540;58.124;...;...;...;...;...;...;...;...;...;...;100.632
;Laudos Periciais Expedidos do Ano Anterior- IC;...;...;...;...;...;...;...;...;...;...;...;...;...;0
ITEM;Exames Outros do IML à Margem do GDL (12) (13);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
XV;Exames Outros Realizados - IML (14);...;...;...;...;...;...;...;...;...;...;...;...;...;0
;Laudos Outros Expedidos do Ano - IML (15);...;...;...;...;...;...;...;...;...;...;...;...;...;0
;Laudos Outros Expedidos do Ano Anterior IML (16);...;...;...;...;...;...;...;...;...;...;...;...;...;0
FONTE: DEPARTAMENTO DE POLÍCIA CIVIL E DA POLÍCIA MILITAR;;;;;;;;;;;;;;;
(1) Exclui a Capital.;;;;;;;;;;;;;;;
(2) Inclui Termos circunstanciados indiretos e diretos, ou seja, com e sem a elaboração de boletim de ocorrência anterior.;;;;;;;;;;;;;;;
(3) Dados da Corregedoria da Polícia Civil.;;;;;;;;;;;;;;;
(4) Dados da Corregedoria da Polícia Militar.;;;;;;;;;;;;;;;
(5) Dados do Serviço de Informações Criminais da Divisão Anti-sequestro.;;;;;;;;;;;;;;;
(6) Incluído Roubo Carga e Banco.;;;;;;;;;;;;;;;
(7) Homicídio Culposo inclui Homicídio Culposo Acidente de Trânsito.;;;;;;;;;;;;;;;
(8) Casos de morte em decorrência de intervenção policial, excluídos homicídio doloso e culposo.;;;;;;;;;;;;;;;
"(8A)  Até março de 2015, a Corregedoria da Polícia Militar utilizava uma categoria específica denominada ""Homicídio doloso - fora de serviço (reações)"", contabilizando somente os casos em que consideravam presentes excludentes de ilicitude. Eram excluídos portanto, os homicídios dolosos e culposos. Esses dados sempre foram publicados no DOE, no último dia do mês seguinte da ocorrência dos dados.  A partir de abril de 2015, a Polícia Militar adequou à exata classificação da Res. SSP 40/15, passando a contabilizar todos os casos de morte em decorrência de qualquer intervenção considerada lícita do policial militar em folga, inclusive os casos em que presentes as excludentes de ilicitude. Continuam excluídos os homicídios dolosos, inclusive ""homicídios múltiplos"" e culposos, que são contabilizados nos termos da Res. SSP 160.";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
(9) Dados de Revistas Pessoais no Interior inclui também CPRv e CPAmb.;;;;;;;;;;;;;;;
(10) Dados de Homicídio Doloso por acidente de trânsito já incluídos em Homicídio Doloso.;;;;;;;;;;;;;;;
(11) Dados de Vítimas em Homicídio Doloso por acidente de trânsito já incluídos em Nº de Vítimas em Homicídio Doloso.;;;;;;;;;;;;;;;
(12) Dados da Superintendência da Polícia Técnico Científica.;;;;;;;;;;;;;;;
(13) Tratam de dados de produtividade apartados dos sistemas centrais informatizados de Gestão de Laudos (GDL).;;;;;;;;;;;;;;;
"(14) A soma destes itens correspondem ao campo  ""Exames Clínicos Laboratoriais Realizados - IML"" dos períodos anteriores";;;;;;;;;;;;;;;
"(15) A soma destes itens correspondem ao campo ""Laudos Clínicos Laboratoriais Expedidos - IML"" dos períodos anteriores";;;;;;;;;;;;;;;
"(16) A soma destes itens correspondem ao campo ""Laudos Clínicos Laboratoriais Expedidos do Ano Anterior - IML"" dos períodos anteriores";;;;;;;;;;;;;;;
(17) Dados de Estupro inclui Estupro de Vulnerável;;;;;;;;;;;;;;;
(…) Dados não desagregados por departamentos;;;;;;;;;;;;;;;
