VII;Prisões efetuadas (em flagrante+ por mandado);6.466;5.470;21.703;1.611;2.726;3.426;2.051;1.833;1.982;3.062;1.402;2.722;888;33.639
;Nº de pessoas presas em flagrante;6.537;4.327;14.848;1.259;2.192;2.303;1.127;989;1.455;1.926;795;2.232;570;25.712
;Nº de pessoas presas por mandado;2.024;1.607;9.198;552;803;1.362;1.210;958;755;1.441;791;942;384;12.829
;Nº de autos de apreensão (art 173 ECA);482;326;917;105;119;169;65;35;112;101;32;126;53;1.725
;Nº de infratores apreendidos em flagrante;500;371;1.146;127;155;249;72;43;142;134;40;127;57;2.017
;Nº de infratores apreendidos por mandado;7;62;358;40;23;74;32;47;23;30;22;58;9;427
VIII;Nº de revistas pessoais/ identificação (9);654.242;398.340;1.348.881;97.762;129.582;275.911;61.489;63.203;150.030;115.474;43.304;184.637;26.874;2.401.463
IX;Armas de fogo apreendidas;1.173;404;1.622;201;189;269;196;103;147;185;59;203;70;3.199
X;Nº de Veículos Recuperados;3.417;2.688;3.895;285;787;643;278;238;452;353;107;655;97;10.000
ITEM;Ocorrências envolvendo policiais militares (4);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
III;Pessoas mortas em confronto com a polícia militar em serviço (8);28;24;27;4;3;5;0;1;4;5;0;5;0;79
;Pessoas mortas por policiais militares de folga (8A);20;5;3;0;0;1;1;0;0;1;0;0;0;28
IV;Pessoas feridas em confronto com a polícia militar em serviço;21;16;23;4;2;2;4;2;4;2;0;3;0;60
;Pessoas feridas por policiais militares de folga;15;8;5;1;1;0;0;0;1;0;0;2;0;28
V;Policiais militares mortos em serviço;0;0;3;0;0;0;0;0;1;0;0;2;0;3
;Policiais militares mortos de folga;1;0;0;0;0;0;0;0;0;0;0;0;0;1
VI;Policiais militares feridos em serviço;11;2;12;1;1;2;4;0;2;1;0;0;1;25
;Policiais militares feridos de folga;11;7;1;0;0;1;0;0;0;0;0;0;0;19
ITEM;Ocorrências policiais registradas, por tipo;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
;Homicídio doloso;127;107;405;81;47;64;25;20;31;35;16;60;26;639
;Nº de Vítimas em Homicídio Doloso;141;110;417;83;52;64;25;20;31;36;16;64;26;668
;Homicídio Doloso por acidente de trânsito (10);1;0;3;0;0;0;1;0;0;2;0;0;0;4
;Nº de Vítimas em Homicídio Doloso por acidente de trânsito (11);1;0;3;0;0;0;1;0;0;2;0;0;0;4
;Homicídio culposo por Acidente de Trânsito;106;127;660;69;95;88;57;41;69;106;20;101;14;893
;Homicídio Culposo (7);110;133;681;69;99;94;58;43;72;107;21;103;15;924
;Tentativa de homicídio;150;138;567;77;58;89;51;57;59;65;26;56;29;855
;Lesão corporal dolosa;7.106;5.219;18.225;1.644;2.671;2.844;1.729;1.457;1.350;2.147;1.314;2.377;692;30.550
;Lesão corporal culposa por Acidente de Trânsito;2.447;2.031;10.775;601;1.317;1.131;1.243;1.450;930;866;750;1.867;620;15.253
;Lesão corporal culposa outras;268;171;330;32;24;67;26;48;41;21;23;43;5;769
;Lesão Corporal Seguida de Morte;1;4;11;1;1;3;0;0;0;1;0;3;2;16
;Latrocínio;9;7;19;3;1;5;2;0;2;2;3;0;1;35
;Nº de Vítimas de Latrocínio;10;8;19;3;1;5;2;0;2;2;3;0;1;37
;Estupro TOTAL (17);569;578;1.887;189;259;260;165;149;190;343;105;169;58;3.034
;Estupro;164;101;451;61;67;69;36;40;38;65;24;35;16;716
;Estupro de Vulnerável;405;477;1.436;128;192;191;129;109;152;278;81;134;42;2.318
XII;Extorsão mediante seqüestro (5);6;1;0;0;0;0;0;0;0;0;0;0;0;7
;Tráfico de entorpecentes;1.105;1.247;5.448;463;781;900;320;419;388;650;279;994;254;7.800
;Roubo - outros TOTAL(6);34.082;13.744;11.312;1.388;2.501;1.619;309;235;2.689;883;96;1.439;153;59.138
;Roubo - Outros;33.143;13.164;10.896;1.349;2.375;1.569;302;226;2.598;853;94;1.380;150;57.203
;Roubo de veículos;4.015;3.410;2.441;258;963;282;36;40;222;166;9;454;11;9.866
;Roubo a Banco;3;1;1;0;1;0;0;0;0;0;0;0;0;5
;Roubo de Carga;936;579;415;39;125;50;7;9;91;30;2;59;3;1.930
;Furto - outros;56.015;19.771;60.958;5.808;10.326;10.080;4.975;4.064;7.726;6.881;2.109;7.072;1.917;136.744
;Furto de veículos;8.982;5.382;7.355;666;1.529;1.427;356;380;764;687;104;1.312;130;21.719
ITEM;Exames de Natureza Necroscópica (12);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
XII;Exames Necroscópicos Realizados - IML;4.021;2.384;6.320;...;...;...;...;...;...;...;...;...;...;12.725
;Laudos Necroscópicos Expedidos do Ano - IML;3.566;2.251;5.936;...;...;...;...;...;...;...;...;...;...;11.753
;Laudos Necroscópicos Expedidos do Ano Anterior IML;...;...;...;...;...;...;...;...;...;...;...;...;...;0
ITEM;Clínicos e Laboratoriais (12);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
XIII;Exames Clínicos Laboratoriais Realizados - IML (14);25.942;15.223;48.801;...;...;...;...;...;...;...;...;...;...;89.966
;Laudos Clínicos Laboratoriais Expedidos do Ano - IML (15);25.958;15.564;48.137;...;...;...;...;...;...;...;...;...;...;89.659
;Laudos Clínicos Laboratoriais Expedidos do Ano Anterior - IML (16);...;...;...;...;...;...;...;...;...;...;...;...;...;0
ITEM;Criminalísticos (12);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
XIV;Exames Periciais Realizados - IC;26.622;15.184;57.763;...;...;...;...;...;...;...;...;...;...;99.569
;Laudos Periciais Expedidos do Ano - IC;26.104;14.371;55.296;...;...;...;...;...;...;...;...;...;...;95.771
;Laudos Periciais Expedidos do Ano Anterior- IC;...;...;...;...;...;...;...;...;...;...;...;...;...;0
ITEM;Exames Outros do IML à Margem do GDL (12) (13);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
XV;Exames Outros Realizados - IML (14);...;...;...;...;...;...;...;...;...;...;...;...;...;0
;Laudos Outros Expedidos do Ano - IML (15);...;...;...;...;...;...;...;...;...;...;...;...;...;0
;Laudos Outros Expedidos do Ano Anterior IML (16);...;...;...;...;...;...;...;...;...;...;...;...;...;0
FONTE: DEPARTAMENTO DE POLÍCIA CIVIL E DA POLÍCIA MILITAR;;;;;;;;;;;;;;;
(1) Exclui a Capital.;;;;;;;;;;;;;;;
(2) Inclui Termos circunstanciados indiretos e diretos, ou seja, com e sem a elaboração de boletim de ocorrência anterior.;;;;;;;;;;;;;;;
(3) Dados da Corregedoria da Polícia Civil.;;;;;;;;;;;;;;;
(4) Dados da Corregedoria da Polícia Militar.;;;;;;;;;;;;;;;
(5) Dados do Serviço de Informações Criminais da Divisão Anti-sequestro.;;;;;;;;;;;;;;;
(6) Incluído Roubo Carga e Banco.;;;;;;;;;;;;;;;
(7) Homicídio Culposo inclui Homicídio Culposo Acidente de Trânsito.;;;;;;;;;;;;;;;
(8) Casos de morte em decorrência de intervenção policial, excluídos homicídio doloso e culposo.;;;;;;;;;;;;;;;
"(8A)  Até março de 2015, a Corregedoria da Polícia Militar utilizava uma categoria específica denominada ""Homicídio doloso - fora de serviço (reações)"", contabilizando somente os casos em que consideravam presentes excludentes de ilicitude. Eram excluídos portanto, os homicídios dolosos e culposos. Esses dados sempre foram publicados no DOE, no último dia do mês seguinte da ocorrência dos dados.  A partir de abril de 2015, a Polícia Militar adequou à exata classificação da Res. SSP 40/15, passando a contabilizar todos os casos de morte em decorrência de qualquer intervenção considerada lícita do policial militar em folga, inclusive os casos em que presentes as excludentes de ilicitude. Continuam excluídos os homicídios dolosos, inclusive ""homicídios múltiplos"" e culposos, que são contabilizados nos termos da Res. SSP 160.";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
(9) Dados de Revistas Pessoais no Interior inclui também CPRv e CPAmb.;;;;;;;;;;;;;;;
(10) Dados de Homicídio Doloso por acidente de trânsito já incluídos em Homicídio Doloso.;;;;;;;;;;;;;;;
(11) Dados de Vítimas em Homicídio Doloso por acidente de trânsito já incluídos em Nº de Vítimas em Homicídio Doloso.;;;;;;;;;;;;;;;
(12) Dados da Superintendência da Polícia Técnico Científica.;;;;;;;;;;;;;;;
(13) Tratam de dados de produtividade apartados dos sistemas centrais informatizados de Gestão de Laudos (GDL).;;;;;;;;;;;;;;;
"(14) A soma destes itens correspondem ao campo  ""Exames Clínicos Laboratoriais Realizados - IML"" dos períodos anteriores";;;;;;;;;;;;;;;
"(15) A soma destes itens correspondem ao campo ""Laudos Clínicos Laboratoriais Expedidos - IML"" dos períodos anteriores";;;;;;;;;;;;;;;
"(16) A soma destes itens correspondem ao campo ""Laudos Clínicos Laboratoriais Expedidos do Ano Anterior - IML"" dos períodos anteriores";;;;;;;;;;;;;;;
(17) Dados de Estupro inclui Estupro de Vulnerável;;;;;;;;;;;;;;;
(…) Dados não desagregados por departamentos;;;;;;;;;;;;;;;
