;Total de termos circunstanciados lavrados pela Polícia Civil (2);2.786;3.412;25.236;2.292;2.030;3.851;3.488;2.297;2.156;2.265;2.831;2.913;1.113;31.434
;Total de inquéritos instaurados;25.183;16.452;53.778;5.830;6.518;8.480;5.212;4.245;4.252;6.404;3.082;7.146;2.609;95.413
ITEM;Ocorrências envolvendo policiais civis (3);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
III;Pessoas mortas em confronto com a polícia civil em serviço (8);1;1;1;0;0;0;0;0;0;1;0;0;0;3
;Pessoas mortas por policiais civis de folga (8);1;2;0;0;0;0;0;0;0;0;0;0;0;3
IV;Pessoas feridas em confronto com a polícia civil em serviço;9;2;2;0;1;0;0;0;1;0;0;0;0;13
;Pessoas feridas por policiais civis de folga;5;1;0;0;0;0;0;0;0;0;0;0;0;6
V;Policiais civis mortos em serviço;0;0;1;0;0;0;0;0;0;0;0;0;1;1
;Policiais civis mortos de folga;1;0;2;0;0;0;0;0;1;1;0;0;0;3
VI;Policiais civis feridos em serviço;3;2;9;0;0;0;2;1;1;1;0;4;0;14
;Policiais civis feridos de folga;4;1;3;1;0;0;1;0;1;0;0;0;0;8
ITEM;Atividades policiais;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
VII;Prisões efetuadas (em flagrante+ por mandado);8.647;7.805;26.788;2.320;3.113;4.164;2.656;1.686;2.505;4.252;1.347;3.558;1.187;43.240
;Nº de pessoas presas em flagrante;9.454;5.900;17.536;1.670;2.322;2.800;1.748;1.028;1.682;2.158;758;2.479;891;32.890
;Nº de pessoas presas por mandado;2.934;2.601;12.333;869;1.247;1.865;1.214;795;1.127;2.635;810;1.339;432;17.868
;Nº de autos de apreensão (art 173 ECA);931;720;1.835;251;185;439;235;81;135;117;69;209;114;3.486
;Nº de infratores apreendidos em flagrante;984;842;2.508;313;244;564;302;115;235;181;67;353;134;4.334
;Nº de infratores apreendidos por mandado;154;162;839;121;68;126;93;77;93;87;48;97;29;1.155
VIII;Nº de revistas pessoais/ identificação (9);1.134.792;563.510;2.491.773;253.074;220.486;528.113;128.064;99.746;299.591;209.856;52.762;254.455;83.199;4.190.075
IX;Armas de fogo apreendidas;896;606;2.257;225;281;288;238;142;293;277;62;284;167;3.759
X;Nº de Veículos Recuperados;6.630;4.292;7.100;743;1.445;1.102;468;339;764;638;130;1.350;121;18.022
ITEM;Ocorrências envolvendo policiais militares (4);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
III;Pessoas mortas em confronto com a polícia militar em serviço (8);91;34;64;4;10;7;2;3;16;10;1;11;0;189
;Pessoas mortas por policiais militares de folga (8A);32;18;7;0;2;0;1;0;2;0;0;2;0;57
IV;Pessoas feridas em confronto com a polícia militar em serviço;55;21;43;2;3;5;0;10;8;3;1;11;0;119
;Pessoas feridas por policiais militares de folga;39;5;5;0;0;0;0;1;1;0;0;3;0;49
V;Policiais militares mortos em serviço;2;0;1;0;0;0;1;0;0;0;0;0;0;3
;Policiais militares mortos de folga;8;1;2;0;0;1;0;0;1;0;0;0;0;11
VI;Policiais militares feridos em serviço;17;7;16;2;2;2;0;3;3;2;0;2;0;40
;Policiais militares feridos de folga;23;1;7;0;0;2;1;1;2;1;0;0;0;31
ITEM;Ocorrências policiais registradas, por tipo;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
;Homicídio doloso;202;192;461;87;71;59;31;23;45;57;14;54;20;855
;Nº de Vítimas em Homicídio Doloso;220;201;487;91;80;61;33;23;47;61;14;55;22;908
;Homicídio Doloso por acidente de trânsito (10);5;1;7;0;0;2;1;0;2;1;0;1;0;13
;Nº de Vítimas em Homicídio Doloso por acidente de trânsito (11);7;1;9;0;0;2;1;0;4;1;0;1;0;17
;Homicídio culposo por Acidente de Trânsito;84;128;621;71;95;90;53;58;63;85;22;69;15;833
;Homicídio Culposo (7);91;138;640;75;99;91;55;59;64;89;22;71;15;869
;Tentativa de homicídio;192;228;595;102;52;89;44;42;79;68;14;72;33;1.015
;Lesão corporal dolosa;7.965;5.326;22.192;2.192;3.041;3.369;2.436;1.644;1.735;2.602;1.223;3.152;798;35.483
;Lesão corporal culposa por Acidente de Trânsito;3.433;2.820;14.871;1.003;2.212;1.796;1.886;1.421;815;1.464;765;2.589;920;21.124
;Lesão corporal culposa outras;248;87;380;19;65;55;20;55;64;30;26;30;16;715
;Lesão Corporal Seguida de Morte;2;4;15;5;4;0;2;1;1;0;1;1;0;21
;Latrocínio;25;14;29;4;4;5;2;3;3;4;0;2;2;68
;Nº de Vítimas de Latrocínio;25;14;30;4;4;6;2;3;3;4;0;2;2;69
;Estupro TOTAL (17);750;641;1.650;161;206;258;187;131;159;272;56;149;71;3.041
;Estupro;295;193;465;48;65;68;42;27;64;73;11;49;18;953
;Estupro de Vulnerável;455;448;1.185;113;141;190;145;104;95;199;45;100;53;2.088
XII;Extorsão mediante seqüestro (5);0;0;1;0;0;1;0;0;0;0;0;0;0;1
;Tráfico de entorpecentes;2.321;1.711;8.385;815;916;1.668;776;521;510;900;394;1.371;514;12.417
;Roubo - outros TOTAL(6);35.491;16.513;16.552;1.922;3.539;1.963;646;389;4.108;1.528;75;2.180;202;68.556
;Roubo - Outros;34.129;15.903;15.956;1.867;3.385;1.892;632;382;3.934;1.492;75;2.095;202;65.988
;Roubo de veículos;8.005;5.345;3.639;444;1.196;374;45;47;593;301;7;623;9;16.989
;Roubo a Banco;10;4;10;2;1;0;0;1;1;2;0;3;0;24
;Roubo de Carga;1.352;606;586;53;153;71;14;6;173;34;0;82;0;2.544
;Furto - outros;48.149;16.600;61.174;5.999;9.527;10.625;5.899;4.303;6.734;6.793;1.855;7.469;1.970;125.923
;Furto de veículos;10.337;5.701;9.640;1.217;2.024;1.295;534;520;900;1.057;123;1.845;125;25.678
ITEM;Exames de Natureza Necroscópica (12);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
XII;Exames Necroscópicos Realizados - IML;2.781;1.688;4.351;...;...;...;...;...;...;...;...;...;...;8.820
;Laudos Necroscópicos Expedidos do Ano - IML;1.714;1.261;3.662;...;...;...;...;...;...;...;...;...;...;6.637
;Laudos Necroscópicos Expedidos do Ano Anterior IML;409;80;120;...;...;...;...;...;...;...;...;...;...;609
ITEM;Clínicos e Laboratoriais (12);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
XIII;Exames Clínicos Laboratoriais Realizados - IML (14);29.972;19.759;59.234;...;...;...;...;...;...;...;...;...;...;108.965
;Laudos Clínicos Laboratoriais Expedidos do Ano - IML (15);29.422;19.342;56.883;...;...;...;...;...;...;...;...;...;...;105.647
;Laudos Clínicos Laboratoriais Expedidos do Ano Anterior - IML (16);99;45;344;...;...;...;...;...;...;...;...;...;...;488
ITEM;Criminalísticos (12);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
XIV;Exames Periciais Realizados - IC;38.559;18.600;74.571;...;...;...;...;...;...;...;...;...;...;131.730
;Laudos Periciais Expedidos do Ano - IC;31.770;13.950;60.712;...;...;...;...;...;...;...;...;...;...;106.432
;Laudos Periciais Expedidos do Ano Anterior- IC;1.132;855;2.015;...;...;...;...;...;...;...;...;...;...;4.002
ITEM;Exames Outros do IML à Margem do GDL (12) (13);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
XV;Exames Outros Realizados - IML (14);7.290;...;...;...;...;...;...;...;...;...;...;...;...;7.290
;Laudos Outros Expedidos do Ano - IML (15);6.474;...;...;...;...;...;...;...;...;...;...;...;...;6.474
;Laudos Outros Expedidos do Ano Anterior IML (16);33;...;...;...;...;...;...;...;...;...;...;...;...;33
FONTE: DEPARTAMENTO DE POLÍCIA CIVIL E DA POLÍCIA MILITAR;;;;;;;;;;;;;;;
(1) Exclui a Capital.;;;;;;;;;;;;;;;
(2) Inclui Termos circunstanciados indiretos e diretos, ou seja, com e sem a elaboração de boletim de ocorrência anterior.;;;;;;;;;;;;;;;
(3) Dados da Corregedoria da Polícia Civil.;;;;;;;;;;;;;;;
(4) Dados da Corregedoria da Polícia Militar.;;;;;;;;;;;;;;;
(5) Dados do Serviço de Informações Criminais da Divisão Anti-sequestro.;;;;;;;;;;;;;;;
(6) Dados de Roubo - Outros TOTAL incluído Roubo - Outros, Roubo Carga e Banco. ;;;;;;;;;;;;;;;
(7) Homicídio Culposo inclui Homicídio Culposo Acidente de Trânsito.;;;;;;;;;;;;;;;
(8) Casos de morte em decorrência de intervenção policial, excluídos homicídio doloso e culposo.;;;;;;;;;;;;;;;
"(8A)  Até março de 2015, a Corregedoria da Polícia Militar utilizava uma categoria específica denominada ""Homicídio doloso - fora de serviço (reações)"", contabilizando somente os casos em que consideravam presentes excludentes de ilicitude. Eram excluídos portanto, os homicídios dolosos e culposos. Esses dados sempre foram publicados no DOE, no último dia do mês seguinte da ocorrência dos dados.  A partir de abril de 2015, a Polícia Militar adequou à exata classificação da Res. SSP 40/15, passando a contabilizar todos os casos de morte em decorrência de qualquer intervenção considerada lícita do policial militar em folga, inclusive os casos em que presentes as excludentes de ilicitude. Continuam excluídos os homicídios dolosos, inclusive ""homicídios múltiplos"" e culposos, que são contabilizados nos termos da Res. SSP 160.";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
(9) Dados de Revistas Pessoais no Interior inclui também CPRv e CPAmb.;;;;;;;;;;;;;;;
(10) Dados de Homicídio Doloso por acidente de trânsito já incluídos em Homicídio Doloso.;;;;;;;;;;;;;;;
(11) Dados de Vítimas em Homicídio Doloso por acidente de trânsito já incluídos em Nº de Vítimas em Homicídio Doloso.;;;;;;;;;;;;;;;
(12) Dados da Superintendência da Polícia Técnico Científica.;;;;;;;;;;;;;;;
(13) Tratam de dados de produtividade apartados dos sistemas centrais informatizados de Gestão de Laudos (GDL).;;;;;;;;;;;;;;;
"(14) A soma destes itens correspondem ao campo  ""Exames Clínicos Laboratoriais Realizados - IML"" dos períodos anteriores";;;;;;;;;;;;;;;
"(15) A soma destes itens correspondem ao campo ""Laudos Clínicos Laboratoriais Expedidos - IML"" dos períodos anteriores";;;;;;;;;;;;;;;
"(16) A soma destes itens correspondem ao campo ""Laudos Clínicos Laboratoriais Expedidos do Ano Anterior - IML"" dos períodos anteriores";;;;;;;;;;;;;;;
(17) Dados de Estupro TOTAL inclui Estupro e Estupro de Vulnerável.;;;;;;;;;;;;;;;
(…) Dados não desagregados por departamentos;;;;;;;;;;;;;;;
